epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.204,1.41391,1.634,1.3947,0.72423,0.8841,0.84757,0.55438,1.17197,1.59554,1.46988,0.000196923,0.000196923,0.0673764
2,36.0049,1.2707,1.00506,1.27966,0.84098,0.83781,0.90714,0.63757,1.03064,1.05518,1.38844,0.000357628,0.000357628,0.0342038
3,50.3224,1.20437,0.91607,1.23304,0.87378,0.82178,0.94116,0.65184,1.06361,0.86136,1.37429,0.000478732,0.000478732,0.000991553
4,64.9561,1.16156,0.81556,1.18863,0.82067,0.94059,0.94086,0.67055,1.02815,0.85614,1.36861,0.0004218,0.0004218,0.0004218
5,79.429,1.12538,0.7738,1.18847,0.84834,0.94059,0.93492,0.69297,0.96559,0.79445,1.32095,0.0003624,0.0003624,0.0003624
6,93.9168,1.09062,0.72787,1.15817,0.85936,0.92079,0.94816,0.68289,0.99784,0.77317,1.35476,0.000303,0.000303,0.000303
7,108.251,1.04685,0.69162,1.14772,0.8842,0.90725,0.96688,0.73129,0.97881,0.73186,1.32176,0.0002436,0.0002436,0.0002436
8,122.804,1.01645,0.6503,1.12333,0.87381,0.95985,0.95784,0.73634,0.93056,0.67043,1.26632,0.0001842,0.0001842,0.0001842
9,137.214,0.99483,0.62463,1.11131,0.88916,0.95313,0.97074,0.73964,0.92906,0.64203,1.27971,0.0001248,0.0001248,0.0001248
10,151.596,0.99038,0.61049,1.08091,0.89925,0.94059,0.96897,0.75113,0.9031,0.62145,1.23333,6.54e-05,6.54e-05,6.54e-05
