epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.7593,1.23055,0.87235,1.24889,0.83438,0.88119,0.91733,0.64274,1.17348,0.84898,1.47485,0.000131282,0.000131282,0.0673108
2,150.338,1.19839,0.83728,1.23624,0.82822,0.88119,0.89914,0.59517,1.14481,0.92903,1.45154,0.000260249,0.000260249,0.0341064
3,223.607,1.16068,0.81222,1.21174,0.89547,0.84817,0.89835,0.61101,1.09087,0.90723,1.34804,0.000384816,0.000384816,0.000897637
4,296.336,1.16946,0.77945,1.21532,0.7802,0.94891,0.91095,0.64857,1.00686,0.84101,1.33175,0.0003802,0.0003802,0.0003802
5,368.866,1.1499,0.76837,1.19529,0.84035,0.88596,0.92843,0.64019,1.02993,0.85858,1.35316,0.0003736,0.0003736,0.0003736
6,441.63,1.13099,0.74906,1.18967,0.82689,0.9505,0.95594,0.70366,0.96736,0.75217,1.27788,0.000367,0.000367,0.000367
7,514.504,1.12768,0.73428,1.1848,0.83167,0.89109,0.93105,0.68706,0.94633,0.74925,1.25256,0.0003604,0.0003604,0.0003604
8,587.455,1.1016,0.71049,1.1569,0.88198,0.91089,0.94698,0.7062,0.93238,0.70868,1.25172,0.0003538,0.0003538,0.0003538
9,660.733,1.11168,0.71419,1.17398,0.84112,0.9604,0.93775,0.69882,1.00019,0.75987,1.2901,0.0003472,0.0003472,0.0003472
10,734.034,1.0677,0.68778,1.14547,0.8397,0.92079,0.95193,0.71804,0.9167,0.70672,1.25428,0.0003406,0.0003406,0.0003406
11,807.31,1.0655,0.69012,1.15441,0.79411,0.91653,0.94151,0.69909,0.98001,0.71604,1.30012,0.000334,0.000334,0.000334
12,880.738,1.05456,0.65741,1.12601,0.80243,0.92491,0.93227,0.69282,0.98586,0.73977,1.30981,0.0003274,0.0003274,0.0003274
13,952.689,1.03031,0.65074,1.14002,0.85087,0.93069,0.94611,0.71155,0.94318,0.71454,1.25368,0.0003208,0.0003208,0.0003208
14,1025.17,1.0391,0.64458,1.12558,0.85995,0.92079,0.93371,0.70551,0.91678,0.70271,1.23435,0.0003142,0.0003142,0.0003142
15,1097.65,1.00797,0.61288,1.09578,0.91184,0.86139,0.95584,0.72174,0.91612,0.7116,1.22872,0.0003076,0.0003076,0.0003076
16,1170.47,1.00803,0.62442,1.12232,0.86978,0.92587,0.96086,0.73885,0.86126,0.64601,1.19567,0.000301,0.000301,0.000301
17,1243.39,0.97557,0.61068,1.08751,0.85716,0.95061,0.96166,0.75711,0.82553,0.62727,1.14555,0.0002944,0.0002944,0.0002944
18,1316.26,0.96673,0.5886,1.08018,0.86816,0.94059,0.95978,0.76064,0.84737,0.63905,1.16543,0.0002878,0.0002878,0.0002878
19,1392.89,0.97885,0.6067,1.08807,0.83884,0.9505,0.95696,0.7476,0.82424,0.61601,1.15886,0.0002812,0.0002812,0.0002812
20,1468.68,0.98026,0.59351,1.09693,0.88797,0.94177,0.96769,0.76123,0.82058,0.59452,1.16442,0.0002746,0.0002746,0.0002746
21,1540.18,0.96704,0.59582,1.09071,0.87236,0.9604,0.95607,0.75079,0.85703,0.60019,1.20169,0.000268,0.000268,0.000268
22,1611.95,0.94905,0.56873,1.07724,0.8878,0.9505,0.95231,0.75313,0.78733,0.57176,1.12707,0.0002614,0.0002614,0.0002614
23,1684.04,0.91731,0.5589,1.06959,0.90438,0.93648,0.96523,0.76971,0.81907,0.57518,1.15709,0.0002548,0.0002548,0.0002548
24,1756.24,0.96131,0.56823,1.08006,0.86437,0.94651,0.95645,0.75981,0.82858,0.6122,1.14768,0.0002482,0.0002482,0.0002482
25,1827.83,0.92887,0.55674,1.06534,0.87799,0.91089,0.95304,0.76976,0.79978,0.60395,1.13224,0.0002416,0.0002416,0.0002416
26,1899.65,0.9429,0.56468,1.0675,0.87021,0.94059,0.96758,0.76945,0.81778,0.56663,1.13427,0.000235,0.000235,0.000235
27,1971.05,0.91657,0.56656,1.06328,0.8701,0.9604,0.95893,0.77057,0.78926,0.56454,1.11247,0.0002284,0.0002284,0.0002284
28,2043.01,0.88502,0.53925,1.04557,0.86253,0.9505,0.94094,0.76153,0.78626,0.58836,1.1145,0.0002218,0.0002218,0.0002218
29,2114.16,0.90965,0.5428,1.05165,0.88714,0.93397,0.96511,0.78795,0.76589,0.56016,1.10719,0.0002152,0.0002152,0.0002152
30,2185.6,0.88165,0.52021,1.04118,0.86481,0.92079,0.95648,0.78875,0.75477,0.56383,1.09492,0.0002086,0.0002086,0.0002086
31,2257.01,0.88248,0.51241,1.05099,0.83208,0.9703,0.95992,0.76447,0.7957,0.54429,1.11299,0.000202,0.000202,0.000202
